keys,en,ru
item.router_controller.description,"I remembered, in old layer systems like here, the communication between the control computers is done using three routers. If there is no direct access to them, you have to install a Digger next to each router, calibrate it using this programmer and connect to your computer. Digger can be crafted with fabricator.","Я вспомнил, в старых системах слоев как эта, связь между управляющими компьютерами осуществляется с помощью трех маршрутизаторов. Если нет к ним доступа напрямую, приходится ставить рядом с каждым маршрутизатором Выкапыватель, калибровать его с помощью этого программатора и соединять с устройством. Выкапыватель можно создать на станке."
item.compass.name,"Radar","Радар"
item.compass.description,"Technically, this is a multitool, but it is badly damaged and does not perform most of the functions.","Технически это мультитул, но он сильно поврежден и не выполняет большинства функций."
item.memory_card.name,"Memory card","Карта памяти"
item.memory_card.description,"Emergency memory card, it stores all data about the layer system and generates programs for creating repair tools. Probably, nothing will be repaired.","Аварийная карта памяти, она хранит все данные о системе слоев и генерирует программы для создания инструментов починки. Скорее всего починить ничего не получится."
item.wire_end_weapon.name,"Wire reel","Катушка с проводом"
item.wire_end_weapon.description,"Stretches out a wire and connects it to the input.","Протягивает провод и соединяет его со входом."
item.rifle.name,"Rifle","Винтовка"
item.rifle.description,"An unusual rifle.","Необычная винтовка."
item.stairs.name,"Stairs","Лестница"
item.stairs.description," "," "
item.charged_battery.name,"Charged battery","Заряженная батарея"
item.charged_battery.description,"It can be used.","Ее можно использовать."
item.discharged_battery.name,"Discharged battery","Разряженная батарея"
item.discharged_battery.description,"I've never seen a battery like this.","Первый раз вижу такие батареи."
